Condition,T1,T2,Load
1,44,38,N
3,49,40,N
4,38,44,N
April,40,51,
April,37,44,
April,37,46,N
August,25,42,
August,40,45,N
August,38,47,N
December,38,41,N
December,38,42,Y
December,41,52,
December,9,25,N
December,32,48,N
February,47,51,N
February,40,42,N
January,40,37,N
July,46,40,N
July,49,44,
July,49,45,
July,50,48,N
June,39,44,N
March,29,45,N
March,47,39,
March,49,40,N
March,34,21,
May,45,45,N
May,44,37,N
May,43,39,N
May,37,35,N
November,45,40,
October,35,43,N
September,20,40,N
September,42,35,N
September,42,35,N
September,36,35,N
